region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter,value
AT,AT,DE,DE,electricity,electricity_central,capaExcResiDir,8.99999969
BE,BE,DE,DE,electricity,electricity_central,capaExcResiDir,1.999999985
CH,CH,DE,DE,electricity,electricity_central,capaExcResiDir,3.49999994
CZ,CZ,DE,DE,electricity,electricity_central,capaExcResiDir,1.999999986
DE,DE,DK,DK,electricity,electricity_central,capaExcResiDir,4.484999976
DE,DE,FR,FR,electricity,electricity_central,capaExcResiDir,1.799999985
DE,DE,LU,LU,electricity,electricity_central,capaExcResiDir,2.299999976
DE,DE,NL,NL,electricity,electricity_central,capaExcResiDir,4.249999983
DE,DE,NO,NO,electricity,electricity_central,capaExcResiDir,1.39999996
DE,DE,PL,PL,electricity,electricity_central,capaExcResiDir,2.499999992
DE,DE,SE,SE,electricity,electricity_central,capaExcResiDir,0.614999991
DE,DE,UK,UK,electricity,electricity_central,capaExcResiDir,0
AT,AT,CH,CH,electricity,electricity_central,capaExcResiDir,1.199999935
AT,AT,CZ,CZ,electricity,electricity_central,capaExcResiDir,0.799999982
AT,AT,HU,HU,electricity,electricity_central,capaExcResiDir,0.799999963
AT,AT,IT,IT,electricity,electricity_central,capaExcResiDir,0.53499995
AT,AT,SI,SI,electricity,electricity_central,capaExcResiDir,1.039999965
AT,AT,SK,SK,electricity,electricity_central,capaExcResiDir,0
BE,BE,FR,FR,electricity,electricity_central,capaExcResiDir,3.299999963
BE,BE,LU,LU,electricity,electricity_central,capaExcResiDir,0.179999978
BE,BE,NL,NL,electricity,electricity_central,capaExcResiDir,2.899999888
BE,BE,NO,NO,electricity,electricity_central,capaExcResiDir,0
BE,BE,UK,UK,electricity,electricity_central,capaExcResiDir,0.999999974
BG,BG,GR,GR,electricity,electricity_central,capaExcResiDir,0.639999982
BG,BG,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.143999942
BG,BG,RO,RO,electricity,electricity_central,capaExcResiDir,0.299999956
BG,BG,TR,TR,electricity,electricity_central,capaExcResiDir,0.299999992
CH,CH,FR,FR,electricity,electricity_central,capaExcResiDir,1.299999983
CH,CH,IT,IT,electricity,electricity_central,capaExcResiDir,1.909999959
CZ,CZ,PL,PL,electricity,electricity_central,capaExcResiDir,0.599999978
CZ,CZ,SK,SK,electricity,electricity_central,capaExcResiDir,1.099999944
DK,DK,NL,NL,electricity,electricity_central,capaExcResiDir,0.699999972
DK,DK,NO,NO,electricity,electricity_central,capaExcResiDir,1.639999986
DK,DK,PL,PL,electricity,electricity_central,capaExcResiDir,0
DK,DK,SE,SE,electricity,electricity_central,capaExcResiDir,1.979999986
DK,DK,UK,UK,electricity,electricity_central,capaExcResiDir,0
EE,EE,FI,FI,electricity,electricity_central,capaExcResiDir,0.999999976
EE,EE,LV,LV,electricity,electricity_central,capaExcResiDir,1.499996433
EE,EE,SE,SE,electricity,electricity_central,capaExcResiDir,0
ES,ES,FR,FR,electricity,electricity_central,capaExcResiDir,4.79999998
ES,ES,IT,IT,electricity,electricity_central,capaExcResiDir,0
ES,ES,PT,PT,electricity,electricity_central,capaExcResiDir,4.499999819
ES,ES,UK,UK,electricity,electricity_central,capaExcResiDir,0
FI,FI,NO,NO,electricity,electricity_central,capaExcResiDir,0
FI,FI,SE,SE,electricity,electricity_central,capaExcResiDir,3.199999948
FR,FR,IT,IT,electricity,electricity_central,capaExcResiDir,4.309999971
FR,FR,LU,LU,electricity,electricity_central,capaExcResiDir,0
FR,FR,UK,UK,electricity,electricity_central,capaExcResiDir,1.999999972
GR,GR,IT,IT,electricity,electricity_central,capaExcResiDir,0.499999985
GR,GR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.099999981
GR,GR,TR,TR,electricity,electricity_central,capaExcResiDir,0.57999999
HR,HR,HU,HU,electricity,electricity_central,capaExcResiDir,1.99999985
HR,HR,IT,IT,electricity,electricity_central,capaExcResiDir,0
HR,HR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.299999959
HR,HR,SI,SI,electricity,electricity_central,capaExcResiDir,1.499999717
HU,HU,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,0.599999969
HU,HU,RO,RO,electricity,electricity_central,capaExcResiDir,1.434999939
HU,HU,SI,SI,electricity,electricity_central,capaExcResiDir,2.399999122
HU,HU,SK,SK,electricity,electricity_central,capaExcResiDir,2.799999956
IE,IE,UK,UK,electricity,electricity_central,capaExcResiDir,1.699999976
IT,IT,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,0.799999965
IT,IT,SI,SI,electricity,electricity_central,capaExcResiDir,0.679999952
LT,LT,LV,LV,electricity,electricity_central,capaExcResiDir,1.199999681
LT,LT,PL,PL,electricity,electricity_central,capaExcResiDir,0.999999964
LT,LT,SE,SE,electricity,electricity_central,capaExcResiDir,0.699999962
LV,LV,SE,SE,electricity,electricity_central,capaExcResiDir,0
NL,NL,NO,NO,electricity,electricity_central,capaExcResiDir,0.699999988
NL,NL,UK,UK,electricity,electricity_central,capaExcResiDir,0.999999975
NO,NO,SE,SE,electricity,electricity_central,capaExcResiDir,3.694999992
NO,NO,UK,UK,electricity,electricity_central,capaExcResiDir,0
NONEU_Balkan,NONEU_Balkan,RO,RO,electricity,electricity_central,capaExcResiDir,0.799999963
PL,PL,SE,SE,electricity,electricity_central,capaExcResiDir,0.599999981
PL,PL,SK,SK,electricity,electricity_central,capaExcResiDir,0.989999982
RO,RO,TR,TR,electricity,electricity_central,capaExcResiDir,0
AT,AT,HU,HU,gas,hydrogen,capaExcResiDir,5.10E-06
AT,AT,IT,IT,gas,hydrogen,capaExcResiDir,1.186350837
AT,AT,SI,SI,gas,hydrogen,capaExcResiDir,1.513035054
AT,AT,SK,SK,gas,hydrogen,capaExcResiDir,8.411465815
BE,BE,FR,FR,gas,hydrogen,capaExcResiDir,4.099353409
BE,BE,LU,LU,gas,hydrogen,capaExcResiDir,0.541583744
BE,BE,NL,NL,gas,hydrogen,capaExcResiDir,12.99752246
BE,BE,UK,UK,gas,hydrogen,capaExcResiDir,6.58E-06
BG,BG,RO,RO,gas,hydrogen,capaExcResiDir,0.899999988
CH,CH,IT,IT,gas,hydrogen,capaExcResiDir,12.42684567
CZ,CZ,PL,PL,gas,hydrogen,capaExcResiDir,1.699999995
CZ,CZ,SK,SK,gas,hydrogen,capaExcResiDir,5.359803666
DK,DK,NL,NL,gas,hydrogen,capaExcResiDir,4.008314403
DK,DK,SE,SE,gas,hydrogen,capaExcResiDir,5.199999986
EE,EE,LV,LV,gas,hydrogen,capaExcResiDir,1.689874843
ES,ES,FR,FR,gas,hydrogen,capaExcResiDir,9.799999991
ES,ES,PT,PT,gas,hydrogen,capaExcResiDir,2.627641078
HR,HR,HU,HU,gas,hydrogen,capaExcResiDir,3.663287287
HU,HU,NONEU_Balkan,NONEU_Balkan,gas,hydrogen,capaExcResiDir,8.399999984
HU,HU,RO,RO,gas,hydrogen,capaExcResiDir,2.273096524
IE,IE,UK,UK,gas,hydrogen,capaExcResiDir,5.299999969
IT,IT,SI,SI,gas,hydrogen,capaExcResiDir,0.528448244
LT,LT,LV,LV,gas,hydrogen,capaExcResiDir,0.395644782
NL,NL,UK,UK,gas,hydrogen,capaExcResiDir,24.17296647
NO,NO,UK,UK,gas,hydrogen,capaExcResiDir,2.341462034
AT,AT,DE,DE,gas,hydrogen,capaExcResiDir,5.097204804
CZ,CZ,DE,DE,gas,hydrogen,capaExcResiDir,2.239999989
DE,DE,DK,DK,gas,hydrogen,capaExcResiDir,5.833062139
DE,DE,NL,NL,gas,hydrogen,capaExcResiDir,9.799999925
DE,DE,NO,NO,gas,hydrogen,capaExcResiDir,19.41831982
CH,CH,FR,FR,gas,hydrogen,capaExcResiDir,15.4999998
BE,BE,NO,NO,gas,hydrogen,capaExcResiDir,7.536509009
FR,FR,NO,NO,gas,hydrogen,capaExcResiDir,10.83490153
NL,NL,NO,NO,gas,hydrogen,capaExcResiDir,2.674955795
HR,HR,SI,SI,gas,hydrogen,capaExcResiDir,1.275675745
HU,HU,SK,SK,gas,hydrogen,capaExcResiDir,7.499998203
DE,DE,AT,AT,gas,hydrogen,capaExcResiDir,5.097204804
DE,DE,CZ,CZ,gas,hydrogen,capaExcResiDir,2.239999989
DK,DK,DE,DE,gas,hydrogen,capaExcResiDir,5.833062139
NL,NL,DE,DE,gas,hydrogen,capaExcResiDir,9.799999925
NO,NO,DE,DE,gas,hydrogen,capaExcResiDir,19.41831982
