region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1
AT,AT,CH,CH,electricity,electricity_central,expExcUp,0
AT,AT,CZ,CZ,electricity,electricity_central,expExcUp,0
AT,AT,HU,HU,electricity,electricity_central,expExcUp,0
AT,AT,IT,IT,electricity,electricity_central,expExcUp,0
AT,AT,SI,SI,electricity,electricity_central,expExcUp,0
AT,AT,SK,SK,electricity,electricity_central,expExcUp,0
BE,BE,FR,FR,electricity,electricity_central,expExcUp,0
BE,BE,LU,LU,electricity,electricity_central,expExcUp,0
BE,BE,NL,NL,electricity,electricity_central,expExcUp,0
BE,BE,NO,NO,electricity,electricity_central,expExcUp,0
BE,BE,UK,UK,electricity,electricity_central,expExcUp,0
BG,BG,GR,GR,electricity,electricity_central,expExcUp,0
BG,BG,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,expExcUp,0
BG,BG,RO,RO,electricity,electricity_central,expExcUp,0
BG,BG,TR,TR,electricity,electricity_central,expExcUp,0
CH,CH,FR,FR,electricity,electricity_central,expExcUp,0
CH,CH,IT,IT,electricity,electricity_central,expExcUp,0
CZ,CZ,PL,PL,electricity,electricity_central,expExcUp,0
CZ,CZ,SK,SK,electricity,electricity_central,expExcUp,0
DK,DK,NL,NL,electricity,electricity_central,expExcUp,0
DK,DK,NO,NO,electricity,electricity_central,expExcUp,0
DK,DK,PL,PL,electricity,electricity_central,expExcUp,0
DK,DK,SE,SE,electricity,electricity_central,expExcUp,0
DK,DK,UK,UK,electricity,electricity_central,expExcUp,0
ES,ES,FR,FR,electricity,electricity_central,expExcUp,0
ES,ES,IT,IT,electricity,electricity_central,expExcUp,0
ES,ES,UK,UK,electricity,electricity_central,expExcUp,0
ES,ES,PT,PT,electricity,electricity_central,expExcUp,0
FI,FI,NO,NO,electricity,electricity_central,expExcUp,0
FI,FI,SE,SE,electricity,electricity_central,expExcUp,0
FR,FR,IT,IT,electricity,electricity_central,expExcUp,0
FR,FR,LU,LU,electricity,electricity_central,expExcUp,0
FR,FR,UK,UK,electricity,electricity_central,expExcUp,0
GR,GR,IT,IT,electricity,electricity_central,expExcUp,0
GR,GR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,expExcUp,0
GR,GR,TR,TR,electricity,electricity_central,expExcUp,0
HR,HR,HU,HU,electricity,electricity_central,expExcUp,0
HR,HR,IT,IT,electricity,electricity_central,expExcUp,0
HR,HR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,expExcUp,0
HR,HR,SI,SI,electricity,electricity_central,expExcUp,0
HU,HU,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,expExcUp,0
HU,HU,RO,RO,electricity,electricity_central,expExcUp,0
HU,HU,SI,SI,electricity,electricity_central,expExcUp,0
HU,HU,SK,SK,electricity,electricity_central,expExcUp,0
IE,IE,UK,UK,electricity,electricity_central,expExcUp,0
IT,IT,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,expExcUp,0
IT,IT,SI,SI,electricity,electricity_central,expExcUp,0
LT,LT,LV,LV,electricity,electricity_central,expExcUp,0
LT,LT,PL,PL,electricity,electricity_central,expExcUp,0
LT,LT,SE,SE,electricity,electricity_central,expExcUp,0
LV,LV,SE,SE,electricity,electricity_central,expExcUp,0
NL,NL,NO,NO,electricity,electricity_central,expExcUp,0
NL,NL,UK,UK,electricity,electricity_central,expExcUp,0
NO,NO,SE,SE,electricity,electricity_central,expExcUp,0
NO,NO,UK,UK,electricity,electricity_central,expExcUp,0
NONEU_Balkan,NONEU_Balkan,RO,RO,electricity,electricity_central,expExcUp,0
PL,PL,SE,SE,electricity,electricity_central,expExcUp,0
PL,PL,SK,SK,electricity,electricity_central,expExcUp,0
RO,RO,TR,TR,electricity,electricity_central,expExcUp,0
EE,EE,FI,FI,electricity,electricity_central,expExcUp,0
EE,EE,LV,LV,electricity,electricity_central,expExcUp,0
EE,EE,SE,SE,electricity,electricity_central,expExcUp,0
