region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter,value
AT,AT,CH,CH,electricity,electricity_central,capaExcResiDir,1.2
AT,AT,CZ,CZ,electricity,electricity_central,capaExcResiDir,0.9
AT,AT,HU,HU,electricity,electricity_central,capaExcResiDir,0.8
AT,AT,IT,IT,electricity,electricity_central,capaExcResiDir,0.705
AT,AT,SI,SI,electricity,electricity_central,capaExcResiDir,1.04
AT,AT,SK,SK,electricity,electricity_central,capaExcResiDir,0
BE,BE,FR,FR,electricity,electricity_central,capaExcResiDir,3.3
BE,BE,LU,LU,electricity,electricity_central,capaExcResiDir,0.68
BE,BE,NL,NL,electricity,electricity_central,capaExcResiDir,3.9
BE,BE,NO,NO,electricity,electricity_central,capaExcResiDir,0
BE,BE,UK,UK,electricity,electricity_central,capaExcResiDir,1
BG,BG,GR,GR,electricity,electricity_central,capaExcResiDir,1.4
BG,BG,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.744
BG,BG,RO,RO,electricity,electricity_central,capaExcResiDir,0.3
BG,BG,TR,TR,electricity,electricity_central,capaExcResiDir,0.7
CH,CH,AT,AT,electricity,electricity_central,capaExcResiDir,1.2
CH,CH,FR,FR,electricity,electricity_central,capaExcResiDir,1.3
CH,CH,IT,IT,electricity,electricity_central,capaExcResiDir,4.24
CZ,CZ,AT,AT,electricity,electricity_central,capaExcResiDir,0.8
CZ,CZ,PL,PL,electricity,electricity_central,capaExcResiDir,0.6
CZ,CZ,SK,SK,electricity,electricity_central,capaExcResiDir,1.8
DK,DK,NL,NL,electricity,electricity_central,capaExcResiDir,0.7
DK,DK,NO,NO,electricity,electricity_central,capaExcResiDir,1.64
DK,DK,PL,PL,electricity,electricity_central,capaExcResiDir,0
DK,DK,SE,SE,electricity,electricity_central,capaExcResiDir,2.44
DK,DK,UK,UK,electricity,electricity_central,capaExcResiDir,0
EE,EE,FI,FI,electricity,electricity_central,capaExcResiDir,1.016
EE,EE,LV,LV,electricity,electricity_central,capaExcResiDir,1.5
EE,EE,SE,SE,electricity,electricity_central,capaExcResiDir,0
ES,ES,FR,FR,electricity,electricity_central,capaExcResiDir,4.8
ES,ES,IT,IT,electricity,electricity_central,capaExcResiDir,0
ES,ES,PT,PT,electricity,electricity_central,capaExcResiDir,6.1
ES,ES,UK,UK,electricity,electricity_central,capaExcResiDir,0
FI,FI,EE,EE,electricity,electricity_central,capaExcResiDir,1
FI,FI,NO,NO,electricity,electricity_central,capaExcResiDir,0
FI,FI,SE,SE,electricity,electricity_central,capaExcResiDir,3.2
FR,FR,BE,BE,electricity,electricity_central,capaExcResiDir,4.8
FR,FR,CH,CH,electricity,electricity_central,capaExcResiDir,3.15
FR,FR,ES,ES,electricity,electricity_central,capaExcResiDir,5
FR,FR,IT,IT,electricity,electricity_central,capaExcResiDir,6.8
FR,FR,LU,LU,electricity,electricity_central,capaExcResiDir,0.38
FR,FR,UK,UK,electricity,electricity_central,capaExcResiDir,2
GR,GR,BG,BG,electricity,electricity_central,capaExcResiDir,0.64
GR,GR,IT,IT,electricity,electricity_central,capaExcResiDir,0.5
GR,GR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.35
GR,GR,TR,TR,electricity,electricity_central,capaExcResiDir,0.66
